
 ARM-M0-Memcpy - Program started!
 CPU frequency: 125000000Hz
memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_0_msup_1	432	0x16680FE1
memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_1_msup_0	384	0x35D59349
memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_1_msup_1	416	0x429EDC6F
memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_2_msup_0	358	0xF802D739
memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_2_msup_1	404	0x01475E2C
memcpy_armv6m_test_miwo_2_mssp_0_opxip_0_opsz_0_msup_0	404	0x37B6ACBE
memcpy_armv6m_test_miwo_2_mssp_0_opxip_0_opsz_1_msup_0	384	0x6BE7AA34
memcpy_armv6m_test_miwo_2_mssp_0_opxip_0_opsz_2_msup_0	378	0x0CDFCC0D
memcpy_armv6m_test_miwo_2_mssp_1_opxip_0_opsz_0_msup_0	450	0x6C599D96
memcpy_armv6m_test_miwo_2_mssp_1_opxip_0_opsz_1_msup_0	404	0x721294A8
memcpy_armv6m_test_miwo_2_mssp_1_opxip_0_opsz_2_msup_0	368	0x5F032299
memcpy_armv6m_test_miwo_2_mssp_1_opxip_1_opsz_0_msup_0	470	0x9F5A933D
memcpy_armv6m_test_miwo_2_mssp_1_opxip_1_opsz_1_msup_0	424	0xD8F419C1
memcpy_armv6m_test_miwo_2_mssp_1_opxip_1_opsz_2_msup_0	388	0x697EFEBB
memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_0_msup_0	378	0x1A79E427
memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_0_msup_1	424	0x39C233CC
memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_1_msup_0	358	0xA27616A4
memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_1_msup_1	404	0xFF534E71
memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_2_msup_0	352	0x2949F3B5
memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_2_msup_1	398	0xF4A1E3E2
memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_0_msup_0	506	0x0AD1C977
memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_0_msup_1	498	0x6653F1F1
memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_1_msup_0	446	0xC794F1B6
memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_1_msup_1	478	0xB68B74AD
memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_2_msup_0	420	0x9CADEF7D
memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_2_msup_1	466	0x79E9752F

Testing implementation: memcpy_armv6m
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_0_mssp_0_opxip_0_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_0_mssp_0_opxip_0_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_0_mssp_0_opxip_0_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_0_opxip_0_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_0_opxip_0_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_0_opxip_0_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_1_opxip_0_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_1_opxip_0_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_1_opxip_0_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_1_opxip_1_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_1_opxip_1_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_1_opxip_1_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_0_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_0_opsz_0_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_0_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_0_opsz_1_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_0_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_0_opsz_2_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_0_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_1_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_2_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_0_opxip_0_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_0_opxip_0_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_0_opxip_0_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_1_opxip_0_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_1_opxip_0_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_1_opxip_0_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_1_opxip_1_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_1_opxip_1_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_1_opxip_1_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_0_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_1_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_2_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_0_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_1_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_2_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing finished in 2.46 minutes

Benchmarking implementations:

Default
 ROM
Size	 0-0	 1-1	 2-2	 3-3	 0-1	 0-2	 0-3	 1-0	 1-2	 1-3	 2-0	 2-1	 2-3	 3-0	 3-1	 3-2
0	25.8	25.9	25.8	25.8	25.8	25.9	25.9	25.8	25.8	25.8	25.8	25.9	25.9	25.9	25.9	25.9
1	29.9	29.8	29.8	29.8	29.8	29.8	29.8	29.8	29.9	29.9	29.9	29.9	29.8	29.8	29.8	29.8
2	33.9	33.9	33.9	33.9	33.9	33.8	33.9	33.9	33.9	33.9	33.8	33.8	33.8	33.8	33.8	33.9
3	37.8	37.9	37.9	37.8	37.9	37.9	37.9	37.8	37.8	37.8	37.8	37.8	37.9	37.9	37.9	37.9
4	41.9	41.8	41.8	41.8	41.8	41.8	41.8	41.8	41.9	41.8	41.9	41.9	41.8	41.8	41.8	41.8
5	45.9	45.8	45.9	45.9	45.9	45.8	45.8	45.9	45.9	45.9	45.9	45.8	45.8	45.8	45.8	45.9
6	49.8	49.9	49.9	49.9	49.9	49.9	49.9	49.9	49.8	49.8	49.8	49.8	49.9	49.9	49.9	49.9
7	53.8	53.9	53.9	53.8	53.9	53.9	53.8	53.8	53.8	53.8	53.8	53.8	53.8	53.8	53.8	53.9
8	56.9	69.9	65.8	71.9	77.9	77.9	77.8	77.8	77.8	77.8	77.8	77.8	77.8	77.8	77.8	77.8
9	63.8	69.8	71.9	60.9	84.8	84.8	84.8	84.8	84.8	84.8	84.8	84.8	84.9	84.9	84.8	84.8
10	63.9	75.9	60.8	67.9	91.9	91.9	91.8	91.8	91.8	91.8	91.8	91.8	91.8	91.8	91.8	91.8
11	69.8	64.9	67.8	67.9	98.9	98.9	98.8	98.8	98.8	98.8	98.8	98.8	98.8	98.8	98.8	98.8
12	59.8	71.8	67.9	73.9	105.8	105.9	105.8	105.8	105.9	105.8	105.9	105.8	105.8	105.9	105.8	105.8
13	66.8	71.9	73.9	63.8	112.9	112.8	112.8	112.9	112.8	112.9	112.8	112.8	112.9	112.8	112.8	112.9
14	66.9	77.9	63.9	70.8	119.9	119.8	119.8	119.9	119.8	119.8	119.9	119.8	119.9	119.8	119.8	119.9
15	72.9	67.9	70.8	70.9	126.9	126.8	126.8	126.9	126.8	126.8	126.9	126.8	126.9	126.8	126.8	126.9
16	62.9	74.8	70.8	76.9	133.8	133.8	133.9	133.8	133.9	133.8	133.8	133.9	133.8	133.9	133.8	133.9
17	69.9	74.9	76.8	66.9	140.9	140.8	140.8	140.9	140.8	140.9	140.8	140.9	140.8	140.9	140.8	140.8
18	69.8	80.9	66.9	73.8	147.9	147.8	147.9	147.8	147.9	147.8	147.8	147.9	147.8	147.9	147.8	147.8
19	75.8	70.9	73.9	73.9	154.8	154.8	154.9	154.8	154.9	154.8	154.9	154.8	154.8	154.9	154.8	154.9
20	65.9	77.9	73.8	79.8	161.8	161.9	161.8	161.8	161.9	161.8	161.9	161.8	161.9	161.8	161.8	161.9
21	72.9	77.9	79.9	69.8	168.9	168.8	168.9	168.8	168.9	168.8	168.8	168.9	168.8	168.9	168.8	168.8
22	72.8	83.9	69.9	76.9	175.8	175.8	175.9	175.8	175.9	175.8	175.9	175.8	175.8	175.9	175.8	175.9
23	78.9	73.9	76.8	76.8	182.8	182.9	182.8	182.8	182.9	182.8	182.9	182.8	182.9	182.8	182.8	182.9
24	67.9	80.9	76.9	82.8	189.9	189.8	189.9	189.8	189.9	189.8	189.8	189.9	189.8	189.9	189.8	189.8
25	74.8	80.9	82.9	71.9	196.8	196.8	196.9	196.8	196.9	196.8	196.9	196.8	196.8	196.9	196.8	196.9
26	74.9	86.9	71.9	78.8	203.9	203.8	203.8	203.9	203.8	203.9	203.8	203.9	203.8	203.9	203.8	203.8
27	80.8	75.9	78.9	78.8	210.9	210.8	210.9	210.8	210.9	210.8	210.8	210.9	210.8	210.9	210.8	210.9
28	70.9	82.9	78.8	84.9	217.9	217.8	217.8	217.9	217.8	217.9	217.8	217.8	217.9	217.8	217.9	217.8
29	77.8	82.9	84.9	74.8	224.9	224.8	224.8	224.9	224.8	224.9	224.8	224.9	224.8	224.9	224.8	224.8
30	77.8	88.9	74.9	81.8	231.9	231.8	231.9	231.8	231.9	231.8	231.8	231.9	231.8	231.9	231.8	231.9
31	83.9	78.9	81.8	81.9	238.9	238.8	238.8	238.9	238.8	238.9	238.8	238.8	238.9	238.8	238.9	238.8
32	75.8	85.9	81.9	87.8	245.9	245.8	245.8	245.9	245.8	245.9	245.8	245.9	245.8	245.9	245.8	245.8
33	82.8	85.9	87.9	79.8	252.9	252.8	252.9	252.8	252.9	252.8	252.8	252.9	252.8	252.9	252.8	252.9
34	82.9	91.9	79.8	86.9	259.9	259.8	259.8	259.9	259.9	259.8	259.9	259.8	259.9	259.8	259.9	259.8
35	88.8	83.9	86.9	86.8	266.9	266.8	266.9	266.8	266.9	266.8	266.9	266.8	266.9	266.8	266.9	266.8
36	78.8	90.9	86.9	92.9	273.8	273.8	273.9	273.8	273.9	273.8	273.9	273.8	273.9	273.9	273.8	273.8
37	85.8	90.9	92.9	82.9	280.8	280.9	280.8	280.9	280.8	280.9	280.8	280.9	280.8	280.9	280.8	280.9
38	85.9	96.9	82.9	89.8	287.9	287.8	287.9	287.8	287.9	287.8	287.9	287.8	287.9	287.8	287.9	287.8
39	91.8	86.9	89.9	89.9	294.8	294.8	294.9	294.8	294.9	294.8	294.9	294.8	294.9	294.9	294.8	294.9
40	80.9	93.9	89.8	95.8	301.8	301.9	301.8	301.9	301.8	301.9	301.8	301.9	301.8	301.9	301.8	301.9
41	87.9	93.9	95.9	84.8	308.9	308.8	308.9	308.8	308.9	308.8	308.9	308.8	308.9	308.8	308.9	308.8
42	87.8	99.9	84.9	91.9	315.8	315.8	315.9	315.8	315.9	315.9	315.8	315.8	315.9	315.9	315.8	315.9
43	93.9	88.9	91.8	91.8	322.8	322.9	322.8	322.9	322.8	322.9	322.8	322.9	322.8	322.9	322.8	322.9
44	83.9	95.9	91.9	97.8	329.9	329.8	329.9	329.8	329.9	329.8	329.9	329.8	329.9	329.8	329.9	329.8
45	90.8	95.9	97.9	87.9	336.8	336.8	336.9	336.8	336.9	336.9	336.8	336.9	336.8	336.9	336.8	336.9
46	90.9	101.9	87.9	94.9	343.8	343.8	343.9	343.8	343.9	343.9	343.8	343.9	343.8	343.9	343.8	343.9
47	96.9	91.9	94.8	94.8	350.8	350.9	350.8	350.9	350.8	350.9	350.8	350.9	350.8	350.9	350.8	350.9
48	88.9	98.9	94.9	100.8	357.9	357.9	357.8	357.9	357.8	357.9	357.8	357.9	357.8	357.9	357.8	357.9
49	95.9	98.9	100.9	92.9	364.8	364.9	364.8	364.9	364.8	364.9	364.8	364.9	364.8	364.9	364.8	364.9
50	95.9	104.9	92.9	99.9	371.8	371.9	371.8	371.9	371.8	371.9	371.8	371.9	371.8	371.9	371.8	371.9
51	101.9	96.8	99.9	99.8	378.9	378.8	378.9	378.8	378.9	378.8	378.9	378.8	378.9	378.8	378.9	378.8
52	91.8	103.9	99.9	105.9	385.9	385.8	385.8	385.9	385.9	385.8	385.9	385.8	385.9	385.8	385.9	385.8
53	98.8	103.9	105.9	95.9	392.8	392.9	392.8	392.9	392.8	392.9	392.8	392.9	392.9	392.8	392.8	392.9
54	98.8	109.9	95.9	102.8	399.8	399.8	399.9	399.8	399.9	399.8	399.9	399.8	399.9	399.8	399.9	399.8
55	104.8	99.8	102.9	102.9	406.8	406.9	406.8	406.9	406.9	406.8	406.8	406.9	406.9	406.8	406.9	406.8
56	93.8	106.9	102.9	108.9	413.9	413.8	413.9	413.8	413.9	413.8	413.9	413.8	413.9	413.8	413.9	413.8
57	100.8	106.9	108.8	97.9	420.8	420.9	420.8	420.9	420.8	420.9	420.8	420.9	420.8	420.9	420.8	420.9
58	100.8	112.9	97.9	104.9	427.8	427.9	427.8	427.9	427.9	427.8	427.9	427.8	427.9	427.8	427.9	427.8
59	106.8	101.9	104.9	104.8	434.9	434.8	434.8	434.9	434.9	434.8	434.9	434.8	434.9	434.8	434.9	434.8
60	96.8	108.9	104.9	110.9	441.9	441.8	441.9	441.8	441.9	441.8	441.9	441.8	441.9	441.8	441.9	441.8
61	103.8	108.8	110.9	100.9	448.9	448.8	448.9	448.8	448.9	448.8	448.9	448.8	448.9	448.8	448.9	448.8
62	103.8	114.8	100.9	107.9	455.9	455.8	455.9	455.8	455.9	455.8	455.9	455.8	455.9	455.8	455.9	455.8
63	109.8	104.8	107.9	107.9	462.9	462.8	462.9	462.8	462.9	462.8	462.9	462.8	462.9	462.8	462.9	462.8
64	101.8	111.8	107.9	113.9	469.9	469.8	469.9	469.8	469.9	469.8	469.9	469.8	469.9	469.8	469.9	469.8
65	108.8	111.8	113.9	105.9	476.9	476.8	476.9	476.8	476.9	476.8	476.9	476.8	476.9	476.8	476.9	476.8
66	108.8	117.8	105.9	112.9	483.9	483.8	483.9	483.8	483.9	483.8	483.9	483.8	483.9	483.8	483.9	483.8
67	114.8	109.8	112.9	112.9	490.9	490.8	490.9	490.8	490.9	490.8	490.9	490.8	490.9	490.9	490.8	490.8
68	104.8	116.8	112.9	118.9	497.9	497.8	497.9	497.8	497.9	497.8	497.9	497.8	497.9	497.9	497.8	497.8
69	111.8	116.8	118.9	108.9	504.9	504.8	504.9	504.8	504.9	504.8	504.9	504.8	504.9	504.9	504.8	504.8
70	111.8	122.8	108.9	115.9	511.9	511.8	511.9	511.8	511.9	511.8	511.9	511.8	511.9	511.9	511.8	511.8
71	117.8	112.8	115.9	115.9	518.9	518.8	518.9	518.9	518.8	518.9	518.8	518.9	518.9	518.8	518.9	518.8
72	106.8	119.8	115.9	121.8	525.8	525.9	525.9	525.8	525.9	525.8	525.9	525.9	525.8	525.9	525.8	525.9
73	113.8	119.9	121.9	110.8	532.9	532.8	532.9	532.8	532.9	532.8	532.9	532.9	532.8	532.9	532.8	532.9
74	113.8	125.9	110.9	117.8	539.9	539.8	539.9	539.8	539.9	539.8	539.9	539.9	539.8	539.9	539.8	539.9
75	119.8	114.9	117.9	117.8	546.9	546.8	546.9	546.8	546.9	546.8	546.9	546.9	546.8	546.9	546.8	546.9
76	109.8	121.9	117.8	123.9	553.9	553.8	553.9	553.8	553.9	553.9	553.8	553.9	553.8	553.9	553.9	553.8
77	116.8	121.9	123.8	113.9	560.9	560.8	560.9	560.8	560.9	560.9	560.8	560.9	560.8	560.9	560.9	560.8
78	116.8	127.9	113.8	120.9	567.9	567.8	567.9	567.8	567.9	567.9	567.8	567.9	567.8	567.9	567.9	567.8
79	122.8	117.9	120.8	120.9	574.9	574.8	574.9	574.8	574.9	574.9	574.8	574.9	574.8	574.9	574.9	574.8
80	114.8	124.8	120.9	126.9	581.9	581.8	581.9	581.8	581.9	581.9	581.8	581.9	581.8	581.9	581.9	581.8
81	121.8	124.8	126.9	118.9	588.9	588.8	588.9	588.8	588.9	588.9	588.8	588.9	588.8	588.9	588.9	588.8
82	121.8	130.8	118.9	125.9	595.9	595.8	595.9	595.8	595.9	595.9	595.8	595.9	595.9	595.8	595.9	595.8
