
 ARM-M0-Memcpy - Program started!
 CPU frequency: 125000000Hz
memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_0_msup_1	432	0x16680FE1
memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_1_msup_0	384	0x35D59349
memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_1_msup_1	416	0x429EDC6F
memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_2_msup_0	358	0xF802D739
memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_2_msup_1	404	0x01475E2C
memcpy_armv6m_test_miwo_2_mssp_0_opxip_0_opsz_0_msup_0	404	0x37B6ACBE
memcpy_armv6m_test_miwo_2_mssp_0_opxip_0_opsz_1_msup_0	384	0x6BE7AA34
memcpy_armv6m_test_miwo_2_mssp_0_opxip_0_opsz_2_msup_0	378	0x0CDFCC0D
memcpy_armv6m_test_miwo_2_mssp_1_opxip_0_opsz_0_msup_0	450	0x6C599D96
memcpy_armv6m_test_miwo_2_mssp_1_opxip_0_opsz_1_msup_0	404	0x721294A8
memcpy_armv6m_test_miwo_2_mssp_1_opxip_0_opsz_2_msup_0	368	0x5F032299
memcpy_armv6m_test_miwo_2_mssp_1_opxip_1_opsz_0_msup_0	470	0x9F5A933D
memcpy_armv6m_test_miwo_2_mssp_1_opxip_1_opsz_1_msup_0	424	0xD8F419C1
memcpy_armv6m_test_miwo_2_mssp_1_opxip_1_opsz_2_msup_0	388	0x697EFEBB
memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_0_msup_0	378	0x1A79E427
memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_0_msup_1	424	0x39C233CC
memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_1_msup_0	358	0xA27616A4
memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_1_msup_1	404	0xFF534E71
memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_2_msup_0	352	0x2949F3B5
memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_2_msup_1	398	0xF4A1E3E2
memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_0_msup_0	506	0x0AD1C977
memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_0_msup_1	498	0x6653F1F1
memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_1_msup_0	446	0xC794F1B6
memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_1_msup_1	478	0xB68B74AD
memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_2_msup_0	420	0x9CADEF7D
memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_2_msup_1	466	0x79E9752F

Testing implementation: memcpy_armv6m
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_0_mssp_0_opxip_0_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_0_mssp_0_opxip_0_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_0_mssp_0_opxip_0_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_0_opxip_0_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_0_opxip_0_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_0_opxip_0_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_1_opxip_0_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_1_opxip_0_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_1_opxip_0_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_1_opxip_1_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_1_opxip_1_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_1_opxip_1_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_0_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_0_opsz_0_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_0_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_0_opsz_1_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_0_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_0_opsz_2_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_0_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_1_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_1_mssp_2_opxip_1_opsz_2_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_0_opxip_0_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_0_opxip_0_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_0_opxip_0_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_1_opxip_0_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_1_opxip_0_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_1_opxip_0_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_1_opxip_1_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_1_opxip_1_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_1_opxip_1_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_0_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_1_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_0_opsz_2_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_0_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_0_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_1_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_1_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_2_msup_0
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing implementation: memcpy_armv6m_test_miwo_2_mssp_2_opxip_1_opsz_2_msup_1
Memory space: RAM
16512 tests Ok
Memory space: FLASH
33024 tests Ok
Memory space: FLASH - NO CACHE
49536 tests Ok
Memory space: ROM
66048 tests Ok

Testing finished in 2.46 minutes

Benchmarking implementations:

Default
 FLASH - NO CACHE
Size	 0-0	 1-1	 2-2	 3-3	 0-1	 0-2	 0-3	 1-0	 1-2	 1-3	 2-0	 2-1	 2-3	 3-0	 3-1	 3-2
0	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2	36.2
1	88.8	88.8	88.8	87.5	88.8	88.8	88.8	87.5	87.5	87.5	87.5	87.5	88.8	88.8	88.8	88.8
2	140.0	141.2	141.2	141.2	140.0	140.0	140.0	140.0	140.0	141.2	141.2	140.0	140.0	140.0	140.0	140.0
3	192.5	192.5	192.5	192.5	191.2	192.5	192.5	192.5	192.5	192.5	192.5	192.5	192.5	191.2	191.2	191.2
4	243.8	245.0	245.0	245.0	243.8	243.8	243.8	243.8	243.8	245.0	245.0	245.0	245.0	243.8	243.8	243.8
5	296.2	296.2	296.2	296.2	296.2	296.2	296.2	296.2	296.2	296.2	296.2	296.2	296.2	296.2	295.0	296.2
6	347.5	348.8	348.8	348.8	347.5	347.5	348.8	347.5	348.8	348.8	348.8	348.8	348.8	348.8	347.5	347.5
7	400.0	400.0	400.0	400.0	400.0	400.0	400.0	400.0	400.0	400.0	400.0	400.0	400.0	401.2	400.0	400.0
8	163.8	273.8	222.5	276.2	480.0	480.0	480.0	480.0	480.0	480.0	480.0	480.0	480.0	481.2	481.2	480.0
9	220.0	273.8	276.2	216.2	536.2	536.2	536.2	536.2	536.2	536.2	536.2	535.0	536.2	536.2	535.0	535.0
10	220.0	328.8	218.8	272.5	591.2	592.5	592.5	591.2	591.2	592.5	592.5	591.2	592.5	592.5	591.2	592.5
11	273.8	270.0	273.8	272.5	647.5	648.8	648.8	648.8	648.8	648.8	648.8	648.8	648.8	648.8	648.8	648.8
12	216.2	326.2	273.8	326.2	705.0	703.8	705.0	703.8	703.8	705.0	703.8	703.8	705.0	703.8	703.8	705.0
13	272.5	325.0	328.8	267.5	760.0	761.2	761.2	760.0	760.0	760.0	760.0	760.0	760.0	760.0	760.0	760.0
14	271.2	380.0	270.0	325.0	816.2	816.2	816.2	816.2	816.2	815.0	816.2	816.2	816.2	816.2	816.2	816.2
15	326.2	321.2	326.2	325.0	872.5	871.2	872.5	872.5	871.2	872.5	872.5	871.2	872.5	872.5	871.2	872.5
16	267.5	377.5	326.2	378.8	928.8	928.8	928.8	928.8	928.8	928.8	928.8	928.8	928.8	928.8	928.8	928.8
17	325.0	378.8	380.0	321.2	985.0	983.8	983.8	985.0	983.8	983.8	985.0	983.8	983.8	985.0	983.8	985.0
18	323.8	432.5	320.0	376.2	1040.0	1041.2	1040.0	1040.0	1040.0	1040.0	1040.0	1040.0	1041.2	1040.0	1040.0	1040.0
19	378.8	373.8	376.2	376.2	1096.2	1096.2	1096.2	1096.2	1096.2	1096.2	1096.2	1096.2	1096.2	1096.2	1096.2	1096.2
20	320.0	427.5	376.2	430.0	1151.2	1151.2	1151.2	1151.2	1152.5	1151.2	1151.2	1151.2	1152.5	1151.2	1151.2	1151.2
21	376.2	428.8	430.0	372.5	1208.8	1208.8	1207.5	1208.8	1207.5	1208.8	1207.5	1208.8	1207.5	1207.5	1208.8	1207.5
22	376.2	482.5	372.5	428.8	1265.0	1263.8	1263.8	1263.8	1265.0	1263.8	1263.8	1263.8	1263.8	1265.0	1263.8	1263.8
23	430.0	423.8	428.8	427.5	1320.0	1320.0	1320.0	1320.0	1320.0	1320.0	1321.2	1320.0	1320.0	1320.0	1320.0	1320.0
24	371.2	480.0	427.5	482.5	1376.2	1376.2	1375.0	1376.2	1376.2	1376.2	1376.2	1376.2	1376.2	1376.2	1376.2	1376.2
25	427.5	480.0	481.2	423.8	1431.2	1431.2	1431.2	1431.2	1431.2	1431.2	1431.2	1431.2	1431.2	1431.2	1432.5	1432.5
26	428.8	533.8	423.8	480.0	1487.5	1488.8	1487.5	1488.8	1487.5	1488.8	1487.5	1488.8	1487.5	1488.8	1488.8	1487.5
27	482.5	476.2	480.0	481.2	1543.8	1543.8	1543.8	1543.8	1543.8	1543.8	1543.8	1543.8	1545.0	1543.8	1543.8	1543.8
28	423.8	532.5	480.0	535.0	1600.0	1600.0	1600.0	1600.0	1601.2	1600.0	1600.0	1600.0	1600.0	1600.0	1600.0	1600.0
29	480.0	532.5	535.0	476.2	1656.2	1656.2	1656.2	1656.2	1656.2	1656.2	1656.2	1656.2	1656.2	1656.2	1656.2	1656.2
30	480.0	586.2	475.0	532.5	1712.5	1712.5	1711.2	1711.2	1711.2	1711.2	1711.2	1711.2	1711.2	1711.2	1711.2	1712.5
31	533.8	528.8	532.5	532.5	1767.5	1767.5	1768.8	1768.8	1767.5	1768.8	1767.5	1768.8	1767.5	1768.8	1767.5	1768.8
32	476.2	583.8	532.5	586.2	1825.0	1823.8	1823.8	1823.8	1825.0	1823.8	1823.8	1823.8	1823.8	1823.8	1823.8	1823.8
33	531.2	583.8	586.2	530.0	1880.0	1880.0	1880.0	1880.0	1880.0	1880.0	1881.2	1880.0	1880.0	1880.0	1880.0	1880.0
34	532.5	638.8	527.5	583.8	1936.2	1936.2	1936.2	1936.2	1936.2	1935.0	1936.2	1936.2	1936.2	1936.2	1936.2	1936.2
35	586.2	581.2	583.8	585.0	1992.5	1992.5	1991.2	1991.2	1991.2	1991.2	1991.2	1991.2	1991.2	1991.2	1991.2	1992.5
36	528.8	636.2	583.8	638.8	2047.5	2048.8	2047.5	2048.8	2047.5	2048.8	2047.5	2048.8	2047.5	2047.5	2048.8	2047.5
37	585.0	636.2	637.5	580.0	2105.0	2103.8	2103.8	2103.8	2105.0	2103.8	2103.8	2103.8	2105.0	2103.8	2103.8	2103.8
38	583.8	690.0	580.0	636.2	2160.0	2160.0	2160.0	2160.0	2160.0	2160.0	2160.0	2161.2	2160.0	2161.2	2160.0	2160.0
39	638.8	632.5	636.2	636.2	2216.2	2216.2	2216.2	2216.2	2216.2	2216.2	2216.2	2216.2	2216.2	2216.2	2215.0	2216.2
40	580.0	688.8	636.2	690.0	2271.2	2272.5	2271.2	2272.5	2272.5	2271.2	2272.5	2271.2	2272.5	2272.5	2272.5	2271.2
41	636.2	687.5	690.0	632.5	2328.8	2327.5	2328.8	2327.5	2328.8	2327.5	2327.5	2328.8	2327.5	2328.8	2327.5	2328.8
42	636.2	742.5	632.5	687.5	2385.0	2383.8	2383.8	2383.8	2385.0	2383.8	2383.8	2383.8	2385.0	2383.8	2383.8	2383.8
43	691.2	683.8	688.8	687.5	2440.0	2440.0	2440.0	2440.0	2440.0	2440.0	2440.0	2441.2	2440.0	2441.2	2440.0	2440.0
44	631.2	740.0	687.5	741.2	2496.2	2496.2	2496.2	2496.2	2496.2	2496.2	2496.2	2495.0	2496.2	2496.2	2496.2	2495.0
45	688.8	740.0	742.5	683.8	2551.2	2551.2	2551.2	2551.2	2552.5	2552.5	2551.2	2552.5	2552.5	2552.5	2551.2	2551.2
46	687.5	793.8	683.8	740.0	2607.5	2608.8	2607.5	2608.8	2607.5	2608.8	2607.5	2608.8	2607.5	2607.5	2608.8	2607.5
47	742.5	735.0	740.0	740.0	2665.0	2663.8	2663.8	2663.8	2663.8	2665.0	2663.8	2663.8	2663.8	2663.8	2665.0	2663.8
48	683.8	792.5	740.0	793.8	2720.0	2721.2	2720.0	2720.0	2720.0	2720.0	2720.0	2720.0	2720.0	2720.0	2720.0	2720.0
49	741.2	792.5	795.0	738.8	2776.2	2776.2	2776.2	2776.2	2776.2	2776.2	2776.2	2776.2	2776.2	2776.2	2776.2	2776.2
50	740.0	846.2	736.2	791.2	2831.2	2831.2	2831.2	2831.2	2832.5	2831.2	2832.5	2831.2	2832.5	2831.2	2831.2	2831.2
51	793.8	790.0	791.2	792.5	2887.5	2888.8	2887.5	2888.8	2887.5	2887.5	2888.8	2887.5	2888.8	2887.5	2888.8	2887.5
52	736.2	843.8	792.5	846.2	2945.0	2943.8	2943.8	2943.8	2943.8	2943.8	2945.0	2943.8	2943.8	2943.8	2945.0	2943.8
53	791.2	843.8	846.2	787.5	3000.0	3000.0	3000.0	3001.2	3000.0	3000.0	3000.0	3000.0	3001.2	3000.0	3000.0	3000.0
54	791.2	897.5	787.5	843.8	3056.2	3056.2	3056.2	3055.0	3056.2	3056.2	3056.2	3056.2	3056.2	3056.2	3056.2	3056.2
55	846.2	840.0	843.8	845.0	3112.5	3112.5	3111.2	3111.2	3112.5	3111.2	3112.5	3111.2	3112.5	3112.5	3111.2	3111.2
56	787.5	896.2	843.8	898.8	3167.5	3168.8	3167.5	3168.8	3167.5	3168.8	3167.5	3168.8	3167.5	3167.5	3168.8	3167.5
57	845.0	896.2	897.5	840.0	3225.0	3223.8	3223.8	3223.8	3223.8	3223.8	3225.0	3223.8	3223.8	3223.8	3223.8	3225.0
58	843.8	950.0	840.0	896.2	3280.0	3280.0	3280.0	3280.0	3280.0	3280.0	3280.0	3280.0	3280.0	3280.0	3281.2	3280.0
59	897.5	892.5	896.2	895.0	3336.2	3336.2	3336.2	3336.2	3336.2	3336.2	3336.2	3336.2	3336.2	3336.2	3336.2	3336.2
60	840.0	948.8	896.2	950.0	3391.2	3391.2	3391.2	3391.2	3392.5	3391.2	3392.5	3391.2	3392.5	3391.2	3391.2	3391.2
61	896.2	947.5	950.0	892.5	3448.8	3448.8	3447.5	3448.8	3447.5	3447.5	3448.8	3447.5	3448.8	3447.5	3448.8	3447.5
62	896.2	1002.5	891.2	947.5	3505.0	3503.8	3503.8	3505.0	3503.8	3503.8	3503.8	3503.8	3505.0	3503.8	3503.8	3503.8
63	951.2	943.8	948.8	947.5	3560.0	3560.0	3560.0	3560.0	3560.0	3561.2	3560.0	3560.0	3560.0	3560.0	3561.2	3560.0
64	892.5	1000.0	947.5	1002.5	3616.2	3616.2	3616.2	3616.2	3616.2	3616.2	3616.2	3616.2	3616.2	3616.2	3616.2	3615.0
65	947.5	1000.0	1001.2	946.2	3672.5	3672.5	3672.5	3672.5	3672.5	3672.5	3672.5	3671.2	3672.5	3672.5	3671.2	3671.2
66	948.8	1053.8	945.0	1000.0	3728.8	3728.8	3727.5	3728.8	3727.5	3728.8	3727.5	3728.8	3727.5	3727.5	3728.8	3728.8
67	1001.2	998.8	1000.0	1000.0	3785.0	3783.8	3783.8	3783.8	3785.0	3783.8	3783.8	3783.8	3783.8	3785.0	3783.8	3783.8
68	943.8	1052.5	1000.0	1053.8	3840.0	3840.0	3840.0	3840.0	3840.0	3840.0	3841.2	3840.0	3840.0	3840.0	3840.0	3840.0
69	1000.0	1051.2	1055.0	996.2	3895.0	3896.2	3896.2	3896.2	3896.2	3896.2	3896.2	3896.2	3896.2	3896.2	3896.2	3896.2
70	1000.0	1106.2	996.2	1052.5	3951.2	3951.2	3951.2	3951.2	3952.5	3951.2	3951.2	3951.2	3952.5	3952.5	3951.2	3951.2
71	1053.8	1047.5	1052.5	1052.5	4007.5	4008.8	4007.5	4008.8	4007.5	4008.8	4007.5	4008.8	4007.5	4007.5	4008.8	4007.5
72	996.2	1103.8	1052.5	1106.2	4065.0	4063.8	4063.8	4063.8	4065.0	4063.8	4063.8	4063.8	4063.8	4065.0	4063.8	4063.8
